Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[333, 669], [669, 333]]&0.9374816&5.576432049e-25
[[334, 668], [668, 334]]&0.9357832&6.16218366954e-25
[[335, 667], [667, 335]]&0.934049&6.82379788083e-25
[[336, 666], [666, 336]]&0.9322786&7.57256046021e-25
[[337, 665], [665, 337]]&0.9304715&8.42163047081e-25
[[338, 664], [664, 338]]&0.9286273&9.3863809124e-25
[[663, 339], [339, 663]]&0.9267455&1.04848063908e-24
[[340, 662], [662, 340]]&0.9248256&1.17380119392e-24
[[341, 661], [661, 341]]&0.9228672&1.31708002968e-24
[[342, 660], [660, 342]]&0.9208699&1.48123788745e-24
[[659, 343], [343, 659]]&0.9188331&1.66972125061e-24
[[344, 658], [658, 344]]&0.9167565&1.88660541284e-24
[[345, 657], [657, 345]]&0.9146396&2.13671930619e-24
[[346, 656], [656, 346]]&0.912482&2.42579699527e-24
[[347, 655], [655, 347]]&0.9102831&2.760661917e-24
[[348, 654], [654, 348]]&0.9080427&3.14945141531e-24
[[349, 653], [653, 349]]&0.9057602&3.60189096457e-24
[[350, 652], [652, 350]]&0.9034352&4.12962979513e-24
[[351, 651], [651, 351]]&0.9010673&4.74665255836e-24
[[352, 650], [650, 352]]&0.8986561&5.4697853597e-24
[[353, 649], [649, 353]]&0.8962012&6.319319162e-24
[[354, 648], [648, 354]]&0.8937021&7.31977948692e-24
[[647, 355], [355, 647]]&0.8911584&8.50087887548e-24
[[646, 356], [356, 646]]&0.8885698&9.89869816409e-24
[[645, 357], [357, 645]]&0.8859358&1.15571548818e-23
[[358, 644], [644, 358]]&0.883256&1.35298327468e-23
[[359, 643], [643, 359]]&0.8805301&1.58822663366e-23
[[642, 360], [360, 642]]&0.8777577&1.86948008317e-23
[[361, 641], [641, 361]]&0.8749384&2.20661799979e-23
[[362, 640], [640, 362]]&0.8720718&2.61180585155e-23
[[363, 639], [639, 363]]&0.8691576&3.10006903267e-23
[[364, 638], [638, 364]]&0.8661953&3.69001167311e-23
[[365, 637], [637, 365]]&0.8631847&4.40472716269e-23
[[366, 636], [636, 366]]&0.8601254&5.27295433287e-23
[[367, 635], [635, 367]]&0.8570171&6.3305491763e-23
[[368, 634], [634, 368]]&0.8538594&7.62236284625e-23
[[369, 633], [633, 369]]&0.850652&9.20464404913e-23
[[370, 632], [632, 370]]&0.8473946&1.11481199451e-22
[[631, 371], [371, 631]]&0.8440869&1.35419571315e-22
[[372, 630], [630, 372]]&0.8407286&1.64988670068e-22
[[629, 373], [373, 629]]&0.8373194&2.01617028985e-22
[[628, 374], [374, 628]]&0.8338589&2.47120066749e-22
[[627, 375], [375, 627]]&0.830347&3.03811094335e-22
[[626, 376], [376, 626]]&0.8267833&3.74645868518e-22
[[625, 377], [377, 625]]&0.8231676&4.63411319662e-22
[[624, 378], [378, 624]]&0.8194996&5.74972597322e-22
[[623, 379], [379, 623]]&0.8157792&7.15597303712e-22
[[622, 380], [380, 622]]&0.812006&8.93382154949e-22
[[621, 381], [381, 621]]&0.8081798&1.11881591599e-21
[[620, 382], [382, 620]]&0.8043005&1.40552411144e-21
[[619, 383], [383, 619]]&0.8003677&1.77125684192e-21
[[618, 384], [384, 618]]&0.7963814&2.23920258114e-21
[[617, 385], [385, 617]]&0.7923413&2.83974023239e-21
[[616, 386], [386, 616]]&0.7882472&3.61278195244e-21
[[615, 387], [387, 615]]&0.7840991&4.61091443222e-21
[[614, 388], [388, 614]]&0.7798966&5.90362220686e-21
[[613, 389], [389, 613]]&0.7756398&7.582981186e-21
[[612, 390], [390, 612]]&0.7713283&9.7713552012e-21
[[611, 391], [391, 611]]&0.7669622&1.26318287544e-20
[[610, 392], [392, 610]]&0.7625413&1.63823875557e-20
[[609, 393], [393, 609]]&0.7580655&2.13152462277e-20
[[608, 394], [394, 608]]&0.7535347&2.78232640946e-20
[[607, 395], [395, 607]]&0.7489489&3.64361481906e-20
[[606, 396], [396, 606]]&0.7443078&4.78702069267e-20
[[605, 397], [397, 605]]&0.7396116&6.30969157046e-20
[[604, 398], [398, 604]]&0.7348601&8.3437669196e-20
[[603, 399], [399, 603]]&0.7300534&1.10695084708e-19
[[602, 400], [400, 602]]&0.7251913&1.47335461329e-19
[[601, 401], [401, 601]]&0.7202739&1.9674302899e-19
[[600, 402], [402, 600]]&0.7153011&2.63575217333e-19
[[599, 403], [403, 599]]&0.710273&3.54260460237e-19
[[598, 404], [404, 598]]&0.7051897&4.776976576e-19
[[597, 405], [405, 597]]&0.7000511&6.46241709997e-19
[[596, 406], [406, 596]]&0.6948572&8.7709597483e-19
[[595, 407], [407, 595]]&0.6896082&1.19428510537e-18
[[594, 408], [408, 594]]&0.6843041&1.63145790569e-18
[[593, 409], [409, 593]]&0.678945&2.2358803982e-18
[[592, 410], [410, 592]]&0.673531&3.07414019155e-18
[[591, 411], [411, 591]]&0.6680622&4.24031796288e-18
[[590, 412], [412, 590]]&0.6625387&5.86772517986e-18
[[589, 413], [413, 589]]&0.6569607&8.14581058999e-18
[[588, 414], [414, 588]]&0.6513282&1.13445780102e-17
[[587, 415], [415, 587]]&0.6456416&1.58499484955e-17
[[586, 416], [416, 586]]&0.6399008&2.22151111294e-17
[[585, 417], [417, 585]]&0.6341061&3.12352929284e-17
[[584, 418], [418, 584]]&0.6282578&4.40569213217e-17
[[583, 419], [419, 583]]&0.6223559&6.23374260655e-17
[[582, 420], [420, 582]]&0.6164008&8.84797957062e-17
[[581, 421], [421, 581]]&0.6103926&1.25977772332e-16
[[422, 580], [580, 422]]&0.6043317&1.79925213553e-16
[[423, 579], [579, 423]]&0.5982182&2.57769670683e-16
[[578, 424], [424, 578]]&0.5920525&3.70430186295e-16
[[577, 425], [425, 577]]&0.5858348&5.33959651188e-16
[[576, 426], [426, 576]]&0.5795654&7.72023394376e-16
[[575, 427], [427, 575]]&0.5732446&1.11960425812e-15
[[574, 428], [428, 574]]&0.5668728&1.6285551618e-15
[[573, 429], [429, 573]]&0.5604502&2.37594141311e-15
[[572, 430], [430, 572]]&0.5539773&3.47660584351e-15
[[571, 431], [431, 571]]&0.5474544&5.10214142965e-15
[[570, 432], [432, 570]]&0.5408819&7.50960954204e-15
[[569, 433], [433, 569]]&0.53426&1.10851161887e-14
[[434, 568], [568, 434]]&0.5275894&1.64100936664e-14
[[435, 567], [567, 435]]&0.5208702&2.436236042e-14
[[436, 566], [566, 436]]&0.5141031&3.62705738285e-14
[[437, 565], [565, 437]]&0.5072883&5.41508407131e-14
[[438, 564], [564, 438]]&0.5004264&8.10700318673e-14
[[439, 563], [563, 439]]&0.4935178&1.2170493535e-13
[[562, 440], [440, 562]]&0.4865629&1.83204772181e-13
[[561, 441], [441, 561]]&0.4795623&2.76524654714e-13
[[560, 442], [442, 560]]&0.4725165&4.18491710013e-13
[[443, 559], [559, 443]]&0.4654259&6.35013454806e-13
[[444, 558], [558, 444]]&0.458291&9.66070702411e-13
[[557, 445], [445, 557]]&0.4511125&1.47350417318e-12
[[446, 556], [556, 446]]&0.4438907&2.25318355051e-12
[[447, 555], [555, 447]]&0.4366263&3.45406495507e-12
[[448, 554], [554, 448]]&0.4293199&5.30809706422e-12
[[449, 553], [553, 449]]&0.421972&8.17724592057e-12
[[450, 552], [552, 450]]&0.4145831&1.26275836272e-11
[[451, 551], [551, 451]]&0.4071539&1.95462437315e-11
[[550, 452], [452, 550]]&0.399685&3.03263979023e-11
[[549, 453], [453, 549]]&0.392177&4.71603635405e-11
[[454, 548], [548, 454]]&0.3846305&7.35049060361e-11
[[547, 455], [455, 547]]&0.3770462&1.14821228162e-10
[[546, 456], [456, 546]]&0.3694247&1.79753884203e-10
[[545, 457], [457, 545]]&0.3617666&2.82012213908e-10
[[544, 458], [458, 544]]&0.3540726&4.43378007525e-10
[[543, 459], [459, 543]]&0.3463434&6.9852151064e-10
[[460, 542], [542, 460]]&0.3385797&1.10272546178e-09
[[461, 541], [541, 461]]&0.3307821&1.74429260239e-09
[[540, 462], [462, 540]]&0.3229514&2.76450704208e-09
[[463, 539], [539, 463]]&0.3150883&4.38979629342e-09
[[464, 538], [538, 464]]&0.3071934&6.98362639279e-09
[[465, 537], [537, 465]]&0.2992676&1.1130355388e-08
[[536, 466], [466, 536]]&0.2913115&1.77709111884e-08
[[467, 535], [535, 467]]&0.2833259&2.84226136817e-08
[[468, 534], [534, 468]]&0.2753115&4.55357815317e-08
[[533, 469], [469, 533]]&0.2672692&7.30729536278e-08
[[470, 532], [532, 470]]&0.2591996&1.1745081594e-07
[[531, 471], [471, 531]]&0.2511035&1.89073715851e-07
[[530, 472], [472, 530]]&0.2429818&3.04833069011e-07
[[529, 473], [473, 529]]&0.2348352&4.92185335835e-07
[[528, 474], [474, 528]]&0.2266645&7.95812280313e-07
[[527, 475], [475, 527]]&0.2184705&1.28850916544e-06
[[526, 476], [476, 526]]&0.210254&2.08900110429e-06
[[477, 525], [525, 477]]&0.2020158&3.39112130095e-06
[[478, 524], [524, 478]]&0.1937568&5.51163618779e-06
[[523, 479], [479, 523]]&0.1854778&8.96869475607e-06
[[480, 522], [522, 480]]&0.1771796&1.46106052017e-05
[[481, 521], [521, 481]]&0.168863&2.38273681771e-05
[[482, 520], [520, 482]]&0.1605289&3.8898367039e-05
[[519, 483], [483, 519]]&0.1521781&6.35641850629e-05
[[484, 518], [518, 484]]&0.1438115&0.000103967522159
[[485, 517], [517, 485]]&0.1354299&0.000170202199198
[[516, 486], [486, 516]]&0.1270342&0.000278864329947
[[515, 487], [487, 515]]&0.1186253&0.00045725562171
[[488, 514], [514, 488]]&0.110204&0.000750310974357
[[513, 489], [489, 513]]&0.1017712&0.00123201922385
[[490, 512], [512, 490]]&0.0933277&0.00202425542875
[[511, 491], [491, 511]]&0.0848745&0.00332783979308
[[510, 492], [492, 510]]&0.0764124&0.0054737673726
[[509, 493], [493, 509]]&0.0679424&0.00900771395453
[[494, 508], [508, 494]]&0.0594652&0.0148294348306
[[507, 495], [495, 507]]&0.0509817&0.0244227051352
[[506, 496], [496, 506]]&0.0424929&0.0402345761714
[[497, 505], [505, 497]]&0.0339997&0.0663008203331
[[498, 504], [504, 498]]&0.0255029&0.10927717415
[[499, 503], [503, 499]]&0.0170034&0.180139247315
[[500, 502], [502, 500]]&0.0085022&0.296983826257
[[501, 501]]&0.0&0.244821775702
