Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[4, 131, 18], [18, 4, 131], [18, 131, 4], [4, 18, 131], [131, 4, 18], [131, 18, 4]]&0.996888&2.05271621366e-13
[[1, 123, 29], [123, 1, 29], [123, 29, 1], [29, 1, 123], [29, 123, 1], [1, 29, 123]]&0.996858&2.95559947989e-12
[[132, 5, 16], [16, 132, 5], [16, 5, 132], [5, 16, 132], [132, 16, 5], [5, 132, 16]]&0.996847&1.4708269396e-13
[[129, 3, 21], [129, 21, 3], [3, 21, 129], [3, 129, 21], [21, 129, 3], [21, 3, 129]]&0.996777&3.99822733201e-13
[[13, 7, 133], [13, 133, 7], [133, 7, 13], [133, 13, 7], [7, 13, 133], [7, 133, 13]]&0.996723&1.05388961835e-13
[[1, 122, 30], [122, 30, 1], [122, 1, 30], [30, 1, 122], [30, 122, 1], [1, 30, 122]]&0.996644&4.12563499303e-12
[[2, 25, 126], [126, 2, 25], [25, 2, 126], [126, 25, 2], [2, 126, 25], [25, 126, 2]]&0.996633&1.08692961267e-12
[[8, 133, 12], [12, 8, 133], [12, 133, 8], [133, 8, 12], [133, 12, 8], [8, 12, 133]]&0.996571&1.05388907063e-13
[[19, 130, 4], [19, 4, 130], [4, 19, 130], [4, 130, 19], [130, 4, 19], [130, 19, 4]]&0.99656&2.86480981591e-13
[[15, 132, 6], [6, 15, 132], [132, 6, 15], [132, 15, 6], [6, 132, 15], [15, 6, 132]]&0.99654&1.47082446928e-13
[[17, 5, 131], [17, 131, 5], [5, 17, 131], [131, 5, 17], [131, 17, 5], [5, 131, 17]]&0.996482&2.05270934159e-13
[[9, 11, 133], [9, 133, 11], [11, 9, 133], [133, 9, 11], [133, 11, 9], [11, 133, 9]]&0.996478&1.05388876479e-13
[[128, 3, 22], [128, 22, 3], [3, 22, 128], [22, 128, 3], [3, 128, 22], [22, 3, 128]]&0.996477&5.58004755179e-13
[[10, 10, 133], [10, 133, 10], [133, 10, 10]]&0.996447&5.26944333255e-14
[[1, 121, 31], [121, 1, 31], [121, 31, 1], [31, 1, 121], [31, 121, 1], [1, 31, 121]]&0.996424&5.75927481615e-12
[[125, 2, 26], [2, 26, 125], [2, 125, 26], [26, 2, 125], [26, 125, 2], [125, 26, 2]]&0.996366&1.51700652385e-12
[[14, 132, 7], [132, 7, 14], [14, 7, 132], [132, 14, 7], [7, 14, 132], [7, 132, 14]]&0.996284&1.47082276127e-13
[[20, 4, 129], [129, 4, 20], [129, 20, 4], [4, 20, 129], [4, 129, 20], [20, 129, 4]]&0.996212&3.99819059162e-13
[[1, 120, 32], [32, 120, 1], [120, 32, 1], [120, 1, 32], [32, 1, 120], [1, 32, 120]]&0.996198&8.0406124717e-12
[[23, 127, 3], [127, 23, 3], [127, 3, 23], [3, 23, 127], [23, 3, 127], [3, 127, 23]]&0.996163&7.78772356054e-13
[[16, 131, 6], [16, 6, 131], [6, 16, 131], [131, 16, 6], [131, 6, 16], [6, 131, 16]]&0.996121&2.0527044796e-13
[[18, 5, 130], [18, 130, 5], [5, 18, 130], [130, 5, 18], [130, 18, 5], [5, 130, 18]]&0.996094&2.86479638049e-13
[[2, 27, 124], [2, 124, 27], [124, 2, 27], [124, 27, 2], [27, 2, 124], [27, 124, 2]]&0.996089&2.11729738571e-12
[[8, 132, 13], [13, 8, 132], [132, 8, 13], [13, 132, 8], [132, 13, 8], [8, 13, 132]]&0.996087&1.47082162404e-13
[[1, 119, 33], [33, 1, 119], [33, 119, 1], [119, 1, 33], [119, 33, 1], [1, 33, 119]]&0.995967&1.1227221215e-11
[[9, 12, 132], [9, 132, 12], [12, 9, 132], [12, 132, 9], [132, 9, 12], [132, 12, 9]]&0.995952&1.47082093005e-13
[[11, 10, 132], [10, 11, 132], [10, 132, 11], [11, 132, 10], [132, 10, 11], [132, 11, 10]]&0.995884&1.47082060148e-13
[[128, 4, 21], [128, 21, 4], [4, 21, 128], [4, 128, 21], [21, 128, 4], [21, 4, 128]]&0.995846&5.57997592087e-13
[[24, 3, 126], [126, 3, 24], [126, 24, 3], [3, 24, 126], [3, 126, 24], [24, 126, 3]]&0.995835&1.08689161834e-12
[[15, 131, 7], [131, 15, 7], [131, 7, 15], [7, 15, 131], [15, 7, 131], [7, 131, 15]]&0.995812&2.05270108244e-13
[[2, 28, 123], [2, 123, 28], [123, 28, 2], [123, 2, 28], [28, 2, 123], [28, 123, 2]]&0.995802&2.95520746483e-12
[[1, 118, 34], [118, 34, 1], [34, 1, 118], [34, 118, 1], [118, 1, 34], [1, 34, 118]]&0.99573&1.56798396023e-11
[[19, 129, 5], [129, 5, 19], [129, 19, 5], [19, 5, 129], [5, 19, 129], [5, 129, 19]]&0.995682&3.99816435259e-13
[[17, 6, 130], [17, 130, 6], [130, 6, 17], [130, 17, 6], [6, 17, 130], [6, 130, 17]]&0.995673&2.86478684021e-13
[[8, 131, 14], [14, 131, 8], [131, 14, 8], [131, 8, 14], [14, 8, 131], [8, 14, 131]]&0.995564&2.05269876914e-13
[[2, 29, 122], [122, 29, 2], [2, 122, 29], [29, 2, 122], [29, 122, 2], [122, 2, 29]]&0.995506&4.12487142524e-12
[[125, 3, 25], [125, 25, 3], [25, 3, 125], [25, 125, 3], [3, 25, 125], [3, 125, 25]]&0.995492&1.5169325073e-12
[[35, 1, 117], [1, 117, 35], [117, 1, 35], [117, 35, 1], [35, 117, 1], [1, 35, 117]]&0.995489&2.19043849112e-11
[[127, 22, 4], [127, 4, 22], [22, 127, 4], [4, 22, 127], [4, 127, 22], [22, 4, 127]]&0.995461&7.78758394427e-13
[[9, 13, 131], [9, 131, 13], [13, 9, 131], [131, 13, 9], [13, 131, 9], [131, 9, 13]]&0.995382&2.05269728029e-13
[[16, 130, 7], [16, 7, 130], [130, 16, 7], [130, 7, 16], [7, 16, 130], [7, 130, 16]]&0.995306&2.86478012517e-13
[[10, 12, 131], [10, 131, 12], [12, 131, 10], [131, 12, 10], [131, 10, 12], [12, 10, 131]]&0.995271&2.0526964489e-13
[[20, 5, 128], [128, 5, 20], [128, 20, 5], [5, 20, 128], [5, 128, 20], [20, 128, 5]]&0.995247&5.57992471594e-13
[[1, 116, 36], [116, 1, 36], [116, 36, 1], [36, 116, 1], [36, 1, 116], [1, 36, 116]]&0.995243&3.06117248218e-11
[[11, 11, 131], [131, 11, 11], [11, 131, 11]]&0.995233&1.02634809088e-13
[[2, 30, 121], [2, 121, 30], [121, 30, 2], [30, 2, 121], [121, 2, 30], [30, 121, 2]]&0.9952&5.75778755188e-12
[[129, 6, 18], [129, 18, 6], [18, 6, 129], [18, 129, 6], [6, 18, 129], [6, 129, 18]]&0.995196&3.99814567237e-13
[[3, 26, 124], [124, 3, 26], [26, 3, 124], [3, 124, 26], [124, 26, 3], [26, 124, 3]]&0.995136&2.11715320201e-12
[[23, 126, 4], [126, 4, 23], [126, 23, 4], [23, 4, 126], [4, 23, 126], [4, 126, 23]]&0.995057&1.08686441109e-12
[[8, 130, 15], [15, 130, 8], [130, 15, 8], [130, 8, 15], [15, 8, 130], [8, 15, 130]]&0.995&2.86477548233e-13
[[1, 115, 37], [115, 1, 37], [115, 37, 1], [37, 1, 115], [37, 115, 1], [1, 37, 115]]&0.994994&4.28033105375e-11
[[2, 31, 120], [2, 120, 31], [120, 2, 31], [120, 31, 2], [31, 120, 2], [31, 2, 120]]&0.994886&8.03771562443e-12
[[5, 21, 127], [127, 21, 5], [127, 5, 21], [21, 127, 5], [5, 127, 21], [21, 5, 127]]&0.994788&7.78748407353e-13
[[123, 27, 3], [3, 27, 123], [3, 123, 27], [123, 3, 27], [27, 3, 123], [27, 123, 3]]&0.994766&2.95492660662e-12
[[9, 14, 130], [14, 130, 9], [17, 7, 129], [129, 7, 17], [129, 17, 7], [9, 130, 14], [17, 129, 7], [130, 9, 14], [130, 14, 9], [14, 9, 130], [7, 17, 129], [7, 129, 17]]&0.994765&6.86290484713e-13
[[1, 114, 38], [114, 1, 38], [114, 38, 1], [38, 1, 114], [38, 114, 1], [1, 38, 114]]&0.994742&5.9895001704e-11
[[19, 128, 6], [128, 6, 19], [128, 19, 6], [19, 6, 128], [6, 19, 128], [6, 128, 19]]&0.994691&5.5798881947e-13
[[125, 4, 24], [125, 24, 4], [24, 4, 125], [4, 24, 125], [4, 125, 24], [24, 125, 4]]&0.994634&1.51687949567e-12
[[10, 13, 130], [10, 130, 13], [130, 13, 10], [130, 10, 13], [13, 10, 130], [13, 130, 10]]&0.994605&2.86477050457e-13
[[32, 119, 2], [2, 32, 119], [2, 119, 32], [119, 2, 32], [119, 32, 2], [32, 2, 119]]&0.994564&1.12215788544e-11
[[11, 12, 130], [130, 12, 11], [12, 11, 130], [130, 11, 12], [12, 130, 11], [11, 130, 12]]&0.994523&2.86476961142e-13
[[1, 113, 39], [113, 1, 39], [113, 39, 1], [39, 1, 113], [39, 113, 1], [1, 39, 113]]&0.994486&8.38982810545e-11
[[8, 129, 16], [129, 8, 16], [129, 16, 8], [16, 8, 129], [16, 129, 8], [8, 16, 129]]&0.994397&3.99812322167e-13
[[122, 28, 3], [3, 28, 122], [3, 122, 28], [28, 3, 122], [28, 122, 3], [122, 3, 28]]&0.994384&4.12432435086e-12
[[126, 5, 22], [126, 22, 5], [22, 126, 5], [5, 22, 126], [22, 5, 126], [5, 126, 22]]&0.994306&1.08684493979e-12
[[33, 2, 118], [2, 33, 118], [2, 118, 33], [33, 118, 2], [118, 33, 2], [118, 2, 33]]&0.994235&1.56688496831e-11
[[1, 112, 40], [112, 40, 1], [112, 1, 40], [40, 1, 112], [1, 40, 112], [40, 112, 1]]&0.994228&1.17689526731e-10
[[25, 4, 124], [25, 124, 4], [124, 4, 25], [124, 25, 4], [4, 25, 124], [4, 124, 25]]&0.994194&2.11704992273e-12
[[128, 7, 18], [128, 18, 7], [18, 7, 128], [18, 128, 7], [7, 18, 128], [7, 128, 18]]&0.994189&5.57986226151e-13
[[20, 6, 127], [127, 20, 6], [127, 6, 20], [6, 20, 127], [6, 127, 20], [20, 127, 6]]&0.994157&7.78741274845e-13
[[9, 15, 129], [129, 9, 15], [129, 15, 9], [9, 129, 15], [15, 9, 129], [15, 129, 9]]&0.994101&3.99811693348e-13
[[3, 29, 121], [3, 121, 29], [121, 3, 29], [121, 29, 3], [29, 3, 121], [29, 121, 3]]&0.993988&5.75672194447e-12
[[1, 111, 41], [41, 111, 1], [111, 1, 41], [111, 41, 1], [1, 41, 111], [41, 1, 111]]&0.993968&1.6541769047e-10
[[2, 34, 117], [2, 117, 34], [34, 2, 117], [34, 117, 2], [117, 2, 34], [117, 34, 2]]&0.993898&2.18829793299e-11
[[14, 129, 10], [129, 10, 14], [129, 14, 10], [10, 14, 129], [10, 129, 14], [14, 10, 129]]&0.993885&3.99811288635e-13
[[125, 5, 23], [23, 125, 5], [125, 23, 5], [23, 5, 125], [5, 23, 125], [5, 125, 23]]&0.9938&1.51684154403e-12
[[129, 11, 13], [129, 13, 11], [11, 13, 129], [13, 11, 129], [13, 129, 11], [11, 129, 13]]&0.993753&3.99811062642e-13
[[8, 128, 17], [128, 8, 17], [128, 17, 8], [17, 8, 128], [17, 128, 8], [8, 17, 128]]&0.993752&5.57984400815e-13
[[123, 4, 26], [123, 26, 4], [26, 4, 123], [26, 123, 4], [4, 26, 123], [4, 123, 26]]&0.993736&2.95472540877e-12
[[129, 12, 12], [12, 12, 129], [12, 129, 12]]&0.993709&1.99905495013e-13
[[1, 110, 42], [42, 1, 110], [42, 110, 1], [110, 1, 42], [110, 42, 1], [1, 42, 110]]&0.993707&2.33135348955e-10
