Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[624, 378], [378, 624]]&0.8194996&1.01813771088e-27
[[623, 379], [379, 623]]&0.8157792&1.67862530043e-27
[[622, 380], [380, 622]]&0.812006&2.76758523835e-27
[[621, 381], [381, 621]]&0.8081798&4.56297665095e-27
[[620, 382], [382, 620]]&0.8043005&7.52307666212e-27
[[619, 383], [383, 619]]&0.8003677&1.2403456514e-26
[[618, 384], [384, 618]]&0.7963814&2.04498425848e-26
[[617, 385], [385, 617]]&0.7923413&3.3716090452e-26
[[616, 386], [386, 616]]&0.7882472&5.5588435493e-26
[[615, 387], [387, 615]]&0.7840991&9.16498360022e-26
[[614, 388], [388, 614]]&0.7798966&1.51105034073e-25
[[613, 389], [389, 613]]&0.7756398&2.49130083786e-25
[[612, 390], [390, 612]]&0.7713283&4.10746068309e-25
[[611, 391], [391, 611]]&0.7669622&6.77205779678e-25
[[610, 392], [392, 610]]&0.7625413&1.1165235736e-24
[[609, 393], [393, 609]]&0.7580655&1.84083616503e-24
[[608, 394], [394, 608]]&0.7535347&3.03502574115e-24
[[607, 395], [395, 607]]&0.7489489&5.00391149656e-24
[[606, 396], [396, 606]]&0.7443078&8.25005532108e-24
[[605, 397], [397, 605]]&0.7396116&1.36020416923e-23
[[604, 398], [398, 604]]&0.7348601&2.24259754631e-23
[[603, 399], [399, 603]]&0.7300534&3.69741827622e-23
[[602, 400], [400, 602]]&0.7251913&6.09601215868e-23
[[601, 401], [401, 601]]&0.7202739&1.00506249125e-22
[[600, 402], [402, 600]]&0.7153011&1.6570679077e-22
[[599, 403], [403, 599]]&0.710273&2.73204310642e-22
[[598, 404], [404, 598]]&0.7051897&4.50437758202e-22
[[597, 405], [405, 597]]&0.7000511&7.42646313075e-22
[[596, 406], [406, 596]]&0.6948572&1.22441677297e-21
[[595, 407], [407, 595]]&0.6896082&2.0187219778e-21
[[594, 408], [408, 594]]&0.6843041&3.32830986443e-21
[[593, 409], [409, 593]]&0.678945&5.48745526897e-21
[[592, 410], [410, 592]]&0.673531&9.04728422397e-21
[[591, 411], [411, 591]]&0.6680622&1.49164499421e-20
[[590, 412], [412, 590]]&0.6625387&2.45930683029e-20
[[589, 413], [413, 589]]&0.6569607&4.05471148228e-20
[[588, 414], [414, 588]]&0.6513282&6.68508906739e-20
[[587, 415], [415, 587]]&0.6456416&1.10218485419e-19
