Candidates_of_the_same_steps, Hellinger Distance, Probabilities 
[[2, 19, 132], [19, 132, 2], [2, 132, 19], [19, 2, 132], [132, 2, 19], [132, 19, 2]]&0.998009&8.97365244135e-06
[[23, 129, 1], [1, 129, 23], [129, 1, 23], [129, 23, 1], [23, 1, 129], [1, 23, 129]]&0.997999&8.9744087879e-06
[[136, 11, 6], [11, 6, 136], [6, 11, 136], [6, 136, 11], [136, 6, 11], [11, 136, 6]]&0.997938&8.97924455477e-06
[[10, 7, 136], [10, 136, 7], [136, 7, 10], [136, 10, 7], [7, 10, 136], [7, 136, 10]]&0.997845&8.98656546927e-06
[[17, 3, 133], [3, 17, 133], [17, 133, 3], [3, 133, 17], [133, 3, 17], [133, 17, 3]]&0.997828&8.98795804854e-06
[[24, 1, 128], [1, 128, 24], [128, 1, 24], [128, 24, 1], [24, 128, 1], [1, 24, 128]]&0.997827&8.98798104581e-06
[[2, 20, 131], [20, 2, 131], [2, 131, 20], [131, 2, 20], [20, 131, 2], [131, 20, 2]]&0.997807&8.98958027049e-06
[[5, 13, 135], [13, 5, 135], [13, 135, 5], [135, 5, 13], [135, 13, 5], [5, 135, 13]]&0.997801&8.99005806186e-06
[[8, 136, 9], [9, 8, 136], [9, 136, 8], [136, 8, 9], [136, 9, 8], [8, 9, 136]]&0.997798&8.99028030592e-06
[[4, 134, 15], [15, 134, 4], [4, 15, 134], [134, 4, 15], [134, 15, 4], [15, 4, 134]]&0.997761&8.99323146388e-06
[[1, 127, 25], [127, 25, 1], [127, 1, 25], [25, 127, 1], [25, 1, 127], [1, 25, 127]]&0.997648&9.0021656372e-06
[[12, 6, 135], [12, 135, 6], [6, 12, 135], [6, 135, 12], [135, 6, 12], [135, 12, 6]]&0.997629&9.00364618984e-06
[[2, 21, 130], [2, 130, 21], [130, 2, 21], [130, 21, 2], [21, 130, 2], [21, 2, 130]]&0.997594&9.00641531533e-06
[[132, 3, 18], [3, 18, 132], [18, 3, 132], [3, 132, 18], [18, 132, 3], [132, 18, 3]]&0.997587&9.00695899032e-06
[[5, 14, 134], [14, 134, 5], [14, 5, 134], [134, 5, 14], [134, 14, 5], [5, 134, 14]]&0.997506&9.01340470743e-06
